area_type,route_type,hour,day_of_week,weather,rainfall_mm,traffic_index,passenger_load_pct,scheduled_headway_min,stop_count,distance_km,road_condition,previous_delay_min,special_event,delay_minutes,delay_category
Rural,Express Bus,21,5,Rain,13.37,62.39,76.12,21.27,19,5.83,Poor,0.0,0,20.25,Major Delay
Urban,Local Bus,16,3,Rain,0.05,50.97,74.89,3.21,29,10.97,Average,3.6,0,18.34,Major Delay
Urban,Local Bus,22,0,Rain,6.12,85.29,46.03,14.2,5,9.07,Good,7.25,1,19.7,Major Delay
Urban,Express Bus,19,0,Clear,8.87,9.49,51.51,12.19,34,16.37,Average,2.26,1,15.68,Major Delay
Urban,Local Bus,9,1,Rain,2.17,22.42,45.16,19.4,11,7.91,Poor,1.82,0,15.01,Major Delay
Urban,Local Bus,20,1,Clear,5.36,37.32,77.94,12.53,8,10.94,Good,11.11,0,12.57,Moderate Delay
Urban,Express Bus,11,0,Cloudy,5.13,80.64,64.06,16.71,22,8.28,Good,0.0,1,14.38,Moderate Delay
Rural,Express Bus,16,5,Clear,13.21,69.69,65.84,9.06,5,15.67,Poor,12.52,1,21.44,Major Delay
Urban,Local Bus,8,2,Rain,4.75,8.53,69.51,19.71,18,3.83,Good,0.0,0,15.93,Major Delay
Urban,Feeder Bus,14,5,Heavy Rain,1.24,37.96,29.76,7.27,28,13.39,Good,2.88,0,17.48,Major Delay
Urban,Feeder Bus,17,1,Clear,8.38,17.55,75.64,19.22,25,13.02,Good,5.33,0,18.89,Major Delay
Urban,Local Bus,21,0,Rain,8.24,47.07,47.18,14.46,7,6.89,Good,8.38,0,20.39,Major Delay
Rural,Local Bus,21,0,Cloudy,1.08,68.74,49.0,3.0,26,10.5,Poor,0.0,0,11.83,Moderate Delay
Urban,Express Bus,19,3,Clear,9.17,70.44,41.29,14.38,12,12.93,Poor,4.32,0,12.0,Moderate Delay
Urban,Local Bus,15,3,Clear,5.98,54.16,59.6,17.64,10,7.54,Average,0.42,0,7.51,Moderate Delay
Urban,Feeder Bus,20,3,Rain,2.0,38.22,56.66,6.62,15,7.44,Average,8.46,1,23.9,Major Delay
Rural,Express Bus,6,6,Clear,1.06,45.81,30.18,8.92,18,4.85,Average,0.35,0,7.22,Moderate Delay
Urban,Local Bus,22,4,Clear,8.9,63.72,22.22,14.53,13,21.11,Average,0.0,0,13.18,Moderate Delay
Rural,Express Bus,8,5,Rain,5.99,100.0,53.95,10.93,20,8.67,Average,5.32,0,20.38,Major Delay
Urban,Local Bus,12,0,Cloudy,2.28,20.74,74.28,15.98,24,4.87,Poor,3.34,0,16.43,Major Delay
Urban,Feeder Bus,21,3,Rain,2.91,84.54,72.35,12.74,7,2.16,Good,12.37,0,14.8,Moderate Delay
Rural,Local Bus,17,4,Cloudy,6.64,53.61,78.01,6.08,13,6.99,Good,8.3,0,12.07,Moderate Delay
Urban,Feeder Bus,20,4,Cloudy,8.76,66.87,54.04,27.97,14,12.33,Average,0.0,0,13.61,Moderate Delay
Urban,Local Bus,17,6,Rain,1.26,52.26,50.93,11.96,23,9.72,Average,8.36,0,23.01,Major Delay
Urban,Express Bus,15,3,Clear,5.58,80.3,55.78,14.75,12,12.75,Good,3.98,0,5.23,Moderate Delay
Rural,Feeder Bus,8,2,Clear,0.24,55.58,74.09,24.63,25,14.58,Good,7.06,0,12.68,Moderate Delay
Rural,Local Bus,22,6,Cloudy,1.44,33.08,90.25,19.18,26,10.25,Average,0.0,0,7.13,Moderate Delay
Rural,Local Bus,16,2,Heavy Rain,1.37,58.35,48.79,17.29,5,10.36,Average,1.6,0,21.27,Major Delay
Urban,Feeder Bus,17,3,Clear,3.64,73.92,52.68,20.35,23,18.83,Poor,6.75,0,13.94,Moderate Delay
Rural,Feeder Bus,12,0,Heavy Rain,3.93,48.0,58.62,17.31,16,14.68,Average,7.15,0,14.2,Moderate Delay
Rural,Local Bus,22,1,Rain,2.79,0.3,52.69,17.31,13,12.92,Average,0.0,0,15.25,Major Delay
Urban,Local Bus,13,0,Clear,8.57,45.36,46.39,17.4,6,9.28,Average,6.39,0,10.55,Moderate Delay
Urban,Feeder Bus,8,2,Clear,0.27,50.26,55.49,12.99,19,14.38,Average,0.0,0,7.98,Moderate Delay
Rural,Local Bus,8,6,Clear,1.3,46.97,42.19,20.45,27,12.76,Good,4.67,0,15.26,Major Delay
Urban,Express Bus,17,0,Cloudy,3.16,36.6,72.51,18.05,9,12.57,Good,0.0,0,11.1,Moderate Delay
Urban,Local Bus,18,6,Clear,10.2,78.43,87.48,3.0,6,14.59,Good,7.92,0,24.94,Major Delay
Rural,Local Bus,8,6,Clear,1.99,0.0,52.32,19.1,9,12.63,Poor,6.88,0,10.25,Moderate Delay
Urban,Feeder Bus,17,0,Clear,1.13,50.16,91.26,9.24,30,3.4,Poor,0.0,0,15.47,Major Delay
Urban,Local Bus,22,0,Heavy Rain,0.14,50.48,55.84,15.46,11,11.27,Good,5.51,0,16.47,Major Delay
Urban,Feeder Bus,14,6,Clear,0.96,96.18,44.05,3.97,30,5.42,Average,3.32,0,19.22,Major Delay
Urban,Express Bus,22,4,Clear,0.18,47.67,71.73,10.5,10,14.17,Average,6.52,0,5.39,Moderate Delay
Rural,Local Bus,7,1,Clear,1.83,58.25,39.52,11.81,20,3.16,Good,0.0,0,10.55,Moderate Delay
Urban,Local Bus,12,6,Clear,6.29,50.88,70.48,17.22,18,10.84,Good,0.0,0,13.27,Moderate Delay
Urban,Local Bus,15,3,Clear,5.32,50.17,63.08,10.47,33,11.29,Poor,0.0,0,22.03,Major Delay
Rural,Feeder Bus,11,4,Rain,6.59,88.55,49.93,3.0,13,5.27,Good,3.24,0,11.73,Moderate Delay
Urban,Express Bus,6,4,Cloudy,0.74,22.43,47.81,11.06,15,10.59,Average,11.66,0,12.85,Moderate Delay
Rural,Express Bus,13,1,Clear,0.41,32.65,40.54,11.72,18,14.84,Average,4.36,0,7.24,Moderate Delay
Urban,Local Bus,11,2,Rain,5.05,65.35,78.63,17.8,14,8.22,Average,8.23,0,14.62,Moderate Delay
Urban,Local Bus,8,0,Clear,7.96,53.91,53.55,14.89,10,12.45,Average,0.0,1,16.66,Major Delay
Urban,Local Bus,11,3,Rain,3.64,41.49,64.22,9.4,8,13.54,Average,0.64,0,14.81,Moderate Delay
Urban,Express Bus,12,6,Clear,5.43,46.38,57.78,15.66,22,5.66,Poor,0.12,0,14.86,Moderate Delay
Rural,Local Bus,20,4,Rain,3.39,69.02,53.76,25.0,26,11.21,Good,2.51,0,23.83,Major Delay
Rural,Local Bus,13,4,Heavy Rain,2.16,59.16,64.53,21.02,10,9.95,Good,6.83,0,20.13,Major Delay
Rural,Local Bus,12,1,Rain,2.6,31.6,68.24,3.0,17,10.93,Good,1.82,0,14.28,Moderate Delay
Urban,Local Bus,12,3,Clear,7.84,53.47,60.77,28.85,26,2.98,Average,1.99,1,17.9,Major Delay
Rural,Express Bus,15,6,Cloudy,3.33,46.85,54.22,21.1,34,3.96,Average,6.4,0,9.36,Moderate Delay
Urban,Express Bus,9,0,Rain,7.77,58.82,36.27,23.51,8,17.1,Average,0.97,0,17.09,Major Delay
Rural,Feeder Bus,20,1,Cloudy,4.22,40.62,45.93,4.88,31,14.78,Good,0.0,0,10.96,Moderate Delay
Urban,Local Bus,12,5,Clear,1.8,20.21,51.88,11.51,16,12.1,Average,1.82,0,13.1,Moderate Delay
Rural,Express Bus,12,0,Clear,5.75,63.46,58.32,17.53,20,15.51,Poor,12.62,0,15.32,Major Delay
Urban,Local Bus,6,1,Clear,3.45,60.62,23.22,7.27,6,4.37,Average,7.9,0,11.61,Moderate Delay
Urban,Feeder Bus,20,6,Clear,9.44,80.55,70.39,17.17,18,9.87,Average,12.99,0,24.43,Major Delay
Rural,Express Bus,13,0,Clear,1.35,17.73,64.42,23.8,13,9.39,Average,0.0,0,4.09,On Time / Minor
Urban,Local Bus,7,3,Cloudy,0.18,46.38,46.36,12.0,12,7.15,Average,5.45,0,16.75,Major Delay
Urban,Feeder Bus,8,2,Clear,6.32,42.7,39.67,24.22,31,5.33,Good,1.64,1,13.11,Moderate Delay
Rural,Local Bus,11,2,Clear,11.22,38.89,44.27,18.21,9,17.58,Average,1.94,0,14.47,Moderate Delay
Urban,Local Bus,19,1,Clear,7.94,12.56,31.53,3.0,12,7.85,Good,0.0,0,6.08,Moderate Delay
Urban,Local Bus,6,1,Heavy Rain,12.02,23.48,51.21,8.79,12,13.25,Good,10.0,0,18.61,Major Delay
Urban,Local Bus,7,5,Cloudy,14.23,54.22,54.41,20.65,28,12.66,Average,0.0,0,13.65,Moderate Delay
Urban,Feeder Bus,15,0,Cloudy,2.97,36.51,76.37,7.81,21,16.23,Good,7.95,0,19.76,Major Delay
Urban,Express Bus,13,0,Rain,1.02,28.99,67.49,20.48,18,14.67,Good,1.53,0,16.32,Major Delay
Rural,Express Bus,22,1,Cloudy,0.01,80.9,82.94,17.67,9,9.46,Average,0.0,0,8.82,Moderate Delay
Rural,Feeder Bus,18,5,Clear,6.06,100.0,60.24,15.87,16,4.67,Average,0.0,0,10.67,Moderate Delay
Urban,Express Bus,16,2,Cloudy,0.26,46.7,39.78,10.54,31,15.46,Good,3.75,0,9.71,Moderate Delay
Rural,Local Bus,11,0,Clear,4.67,13.45,92.81,15.81,19,17.11,Good,1.67,0,14.39,Moderate Delay
Urban,Local Bus,16,3,Cloudy,6.46,57.12,51.63,24.09,34,23.32,Average,3.52,0,17.71,Major Delay
Rural,Local Bus,15,4,Clear,3.79,0.04,27.09,11.66,6,15.89,Average,0.0,0,6.61,Moderate Delay
Urban,Feeder Bus,10,3,Rain,2.54,16.95,62.41,17.66,12,7.81,Average,0.0,0,18.63,Major Delay
Urban,Feeder Bus,11,0,Cloudy,1.26,57.51,26.2,26.04,9,8.46,Average,0.0,0,10.97,Moderate Delay
Rural,Express Bus,21,6,Clear,12.71,16.17,56.31,15.57,24,2.0,Average,7.51,1,9.66,Moderate Delay
Rural,Local Bus,14,6,Cloudy,1.25,41.19,48.49,11.06,8,6.94,Good,10.74,0,4.31,On Time / Minor
Urban,Local Bus,13,6,Clear,2.56,13.88,68.47,10.99,17,4.66,Average,2.18,0,19.38,Major Delay
Urban,Feeder Bus,19,6,Clear,2.23,49.29,77.07,3.0,6,13.94,Good,7.22,0,13.66,Moderate Delay
Urban,Local Bus,9,2,Rain,6.84,73.83,51.5,6.73,20,15.79,Good,5.23,0,11.45,Moderate Delay
Urban,Express Bus,8,2,Rain,4.21,33.9,50.08,16.03,10,22.29,Poor,9.34,0,20.2,Major Delay
Urban,Local Bus,22,6,Rain,0.63,47.55,73.16,19.82,28,26.44,Poor,9.53,0,17.39,Major Delay
Urban,Local Bus,19,3,Clear,7.51,29.24,42.66,11.44,18,12.24,Good,0.0,1,19.49,Major Delay
Urban,Express Bus,12,6,Clear,1.25,30.85,59.29,19.74,23,8.09,Good,4.46,0,13.6,Moderate Delay
Urban,Feeder Bus,22,4,Clear,4.76,28.88,68.83,19.36,10,9.04,Poor,7.78,0,14.09,Moderate Delay
Urban,Express Bus,11,6,Cloudy,11.79,66.08,42.19,9.38,24,7.54,Good,7.8,0,8.77,Moderate Delay
Urban,Local Bus,17,0,Cloudy,1.68,15.49,51.99,10.43,6,22.72,Poor,7.33,0,19.51,Major Delay
Rural,Local Bus,5,4,Clear,1.8,40.37,60.02,5.92,9,2.0,Good,3.34,0,14.28,Moderate Delay
Urban,Feeder Bus,17,5,Clear,2.97,57.43,84.61,18.46,29,19.1,Good,6.88,0,16.82,Major Delay
Rural,Express Bus,8,1,Clear,3.09,68.93,33.81,14.02,12,6.33,Good,0.0,0,7.62,Moderate Delay
Urban,Local Bus,9,5,Clear,4.38,58.13,55.02,19.33,27,9.04,Average,0.0,0,13.26,Moderate Delay
Urban,Express Bus,19,1,Clear,5.84,46.33,85.07,13.64,30,2.0,Good,11.04,0,14.08,Moderate Delay
Rural,Local Bus,8,6,Clear,1.15,34.92,77.43,8.36,8,16.27,Good,8.94,0,13.93,Moderate Delay
Urban,Local Bus,13,6,Clear,3.46,69.28,52.49,18.68,34,14.97,Poor,11.41,0,18.92,Major Delay
Urban,Feeder Bus,21,0,Clear,0.91,28.05,56.57,3.0,29,5.53,Good,2.73,0,8.22,Moderate Delay
Urban,Express Bus,22,3,Clear,6.58,28.4,67.19,11.98,21,16.54,Average,0.0,0,17.14,Major Delay
Urban,Local Bus,12,2,Cloudy,9.09,79.11,67.6,9.35,14,15.57,Good,2.57,0,14.4,Moderate Delay
Urban,Local Bus,6,6,Rain,2.2,56.29,85.56,23.15,11,8.35,Average,13.19,0,17.42,Major Delay
Urban,Feeder Bus,10,2,Clear,4.01,57.1,80.63,24.5,11,2.0,Good,0.0,0,12.69,Moderate Delay
Urban,Express Bus,16,5,Clear,11.25,61.77,30.35,16.54,20,9.9,Average,2.63,0,11.98,Moderate Delay
Urban,Express Bus,11,0,Cloudy,5.05,45.82,26.1,10.53,9,16.21,Average,9.59,0,11.46,Moderate Delay
Urban,Local Bus,17,1,Clear,0.91,14.93,47.13,24.33,19,6.43,Poor,3.9,0,11.47,Moderate Delay
Urban,Feeder Bus,22,6,Clear,0.36,53.78,20.95,9.81,20,16.41,Poor,1.56,0,14.42,Moderate Delay
Rural,Feeder Bus,16,2,Clear,1.41,47.58,84.25,5.7,24,6.7,Good,7.28,1,16.21,Major Delay
Urban,Local Bus,16,5,Clear,2.72,28.24,28.08,3.0,5,10.55,Good,1.12,0,10.22,Moderate Delay
Urban,Local Bus,14,6,Rain,7.31,22.95,52.02,14.61,14,7.32,Good,5.89,0,15.1,Major Delay
Urban,Express Bus,8,6,Rain,2.46,46.93,40.58,3.71,9,11.78,Average,0.0,0,15.14,Major Delay
Urban,Feeder Bus,15,0,Clear,0.82,16.77,26.26,22.51,31,15.11,Good,0.0,0,5.18,Moderate Delay
Urban,Express Bus,21,1,Clear,2.62,44.7,81.62,10.52,30,19.15,Average,2.33,0,23.13,Major Delay
Urban,Feeder Bus,17,5,Heavy Rain,2.79,41.93,46.47,6.28,34,12.04,Poor,10.17,0,28.74,Major Delay
Urban,Express Bus,18,6,Cloudy,1.49,45.26,96.14,20.69,32,3.21,Good,2.68,0,16.71,Major Delay
Rural,Local Bus,20,6,Heavy Rain,2.48,57.26,86.11,19.26,32,14.16,Good,3.24,0,25.42,Major Delay
Rural,Local Bus,11,5,Rain,4.06,62.3,57.94,23.98,14,9.51,Average,4.75,0,15.48,Major Delay
Urban,Feeder Bus,11,0,Clear,0.28,31.64,16.1,3.8,34,9.4,Good,1.44,0,6.9,Moderate Delay
Urban,Local Bus,22,5,Clear,2.79,68.01,51.2,3.0,5,11.53,Good,0.0,0,10.99,Moderate Delay
Urban,Local Bus,13,1,Clear,21.3,42.95,100.0,23.36,9,13.8,Good,6.94,1,13.88,Moderate Delay
Rural,Express Bus,18,5,Rain,4.88,88.33,66.56,3.0,13,8.93,Poor,4.83,0,15.11,Major Delay
Rural,Local Bus,16,3,Clear,7.41,34.54,54.65,6.71,12,13.9,Average,5.21,0,20.28,Major Delay
Urban,Feeder Bus,7,1,Cloudy,11.17,10.94,45.77,14.33,28,13.02,Good,0.0,0,15.29,Major Delay
Urban,Local Bus,10,5,Cloudy,12.96,67.17,75.74,6.02,27,13.91,Good,11.13,0,20.69,Major Delay
Urban,Local Bus,10,6,Rain,1.85,57.79,65.39,15.27,9,15.4,Average,1.35,0,18.69,Major Delay
Rural,Local Bus,8,3,Rain,0.33,75.64,63.68,7.11,18,2.0,Good,10.65,0,21.09,Major Delay
Rural,Express Bus,19,5,Clear,8.52,55.12,80.72,21.74,7,9.04,Poor,0.0,0,13.55,Moderate Delay
Urban,Express Bus,22,0,Clear,2.76,100.0,79.65,18.31,33,10.24,Average,1.37,0,13.38,Moderate Delay
Urban,Local Bus,22,1,Cloudy,2.92,43.66,66.74,15.65,26,9.75,Poor,11.11,0,24.25,Major Delay
Urban,Local Bus,8,0,Rain,5.77,72.06,26.26,11.87,9,6.67,Average,2.79,0,14.13,Moderate Delay
Rural,Local Bus,13,1,Rain,3.52,35.91,38.35,7.8,28,7.74,Poor,0.0,0,21.59,Major Delay
Rural,Express Bus,9,2,Cloudy,4.44,59.31,45.67,13.19,14,13.61,Average,0.0,1,14.51,Moderate Delay
Urban,Feeder Bus,6,3,Rain,4.81,63.59,57.25,6.61,11,13.3,Average,4.9,0,17.89,Major Delay
Urban,Express Bus,16,2,Clear,8.62,67.15,87.98,25.5,24,11.16,Good,10.68,0,12.79,Moderate Delay
Urban,Local Bus,20,3,Clear,5.29,65.86,99.05,15.92,11,5.98,Average,2.06,0,13.01,Moderate Delay
Urban,Express Bus,6,1,Rain,0.88,0.0,65.83,8.78,17,15.3,Average,8.98,0,11.75,Moderate Delay
Rural,Local Bus,16,2,Cloudy,0.85,46.42,69.0,23.4,31,14.94,Average,5.47,0,16.33,Major Delay
Urban,Local Bus,5,5,Rain,1.66,34.77,27.78,13.72,15,16.56,Average,1.44,0,11.62,Moderate Delay
Rural,Local Bus,20,3,Clear,5.02,39.31,49.54,22.39,9,7.09,Good,7.44,0,8.77,Moderate Delay
Urban,Local Bus,6,0,Cloudy,0.99,41.48,46.94,22.21,21,29.14,Good,8.3,0,16.91,Major Delay
Urban,Local Bus,12,2,Clear,0.99,70.48,45.27,16.62,9,12.1,Good,2.06,0,12.94,Moderate Delay
Urban,Express Bus,7,5,Clear,4.68,52.66,69.59,6.38,29,7.21,Good,0.0,0,8.53,Moderate Delay
Urban,Local Bus,12,1,Clear,1.84,36.33,48.98,10.52,27,22.89,Average,0.0,0,18.4,Major Delay
Urban,Express Bus,12,6,Rain,12.12,14.23,20.1,35.0,17,14.74,Poor,5.59,1,20.59,Major Delay
Urban,Feeder Bus,14,2,Clear,1.96,83.26,74.85,10.69,21,12.01,Average,0.62,0,14.31,Moderate Delay
Urban,Express Bus,19,4,Clear,6.78,33.11,82.07,12.46,6,12.62,Poor,6.11,1,12.51,Moderate Delay
Urban,Local Bus,22,3,Clear,3.01,44.99,63.77,11.17,24,17.41,Poor,4.96,0,13.3,Moderate Delay
Urban,Express Bus,11,4,Clear,0.73,97.19,54.64,8.36,28,12.26,Good,5.26,0,11.77,Moderate Delay
Urban,Local Bus,21,5,Cloudy,1.88,33.74,40.01,18.22,32,2.38,Average,2.68,0,17.42,Major Delay
Rural,Local Bus,12,1,Cloudy,3.24,41.66,41.25,5.97,26,10.91,Good,0.0,0,12.0,Moderate Delay
Rural,Local Bus,7,2,Cloudy,1.92,53.34,79.42,9.02,13,15.5,Poor,5.86,0,15.34,Major Delay
Urban,Feeder Bus,15,3,Clear,11.02,11.06,43.03,15.85,20,10.76,Average,7.69,0,17.21,Major Delay
Rural,Feeder Bus,18,1,Clear,1.17,8.4,98.25,12.5,14,6.07,Good,15.13,0,13.92,Moderate Delay
Rural,Feeder Bus,10,2,Clear,2.21,36.92,76.99,14.98,23,10.82,Good,0.53,0,15.21,Major Delay
Rural,Express Bus,15,6,Cloudy,5.23,37.72,64.79,13.81,31,15.32,Average,0.0,0,10.75,Moderate Delay
Urban,Local Bus,12,1,Rain,15.27,51.09,100.0,6.97,16,17.38,Good,0.0,0,11.45,Moderate Delay
Urban,Feeder Bus,7,1,Clear,5.95,25.51,83.51,22.79,28,5.45,Good,3.25,0,7.42,Moderate Delay
Urban,Feeder Bus,11,4,Heavy Rain,4.93,57.98,49.39,20.86,8,5.11,Poor,7.51,0,18.74,Major Delay
Rural,Local Bus,12,0,Clear,7.61,0.0,37.53,8.27,26,10.71,Good,7.95,0,11.85,Moderate Delay
Rural,Feeder Bus,11,0,Rain,9.49,46.38,49.52,16.86,28,7.54,Average,11.34,0,18.7,Major Delay
Urban,Feeder Bus,21,6,Rain,11.22,56.28,55.95,11.06,28,8.11,Average,5.43,0,24.63,Major Delay
Urban,Local Bus,11,1,Cloudy,5.94,55.55,42.83,20.5,16,9.66,Good,0.0,0,11.3,Moderate Delay
Rural,Local Bus,16,0,Cloudy,4.3,44.26,35.51,19.15,27,14.83,Good,4.7,0,11.73,Moderate Delay
Rural,Local Bus,5,4,Clear,1.23,32.81,62.71,21.54,34,6.78,Good,0.0,1,10.09,Moderate Delay
Urban,Express Bus,10,3,Rain,4.62,43.59,75.76,8.32,6,5.17,Poor,1.77,0,21.01,Major Delay
Urban,Local Bus,20,3,Clear,13.02,76.38,95.15,5.87,34,7.3,Average,1.38,0,25.73,Major Delay
Urban,Local Bus,21,3,Cloudy,0.06,34.21,59.53,3.0,15,3.44,Good,5.8,0,10.38,Moderate Delay
Urban,Express Bus,22,1,Clear,10.25,70.5,70.05,30.05,14,11.26,Average,5.7,0,12.2,Moderate Delay
Urban,Feeder Bus,6,6,Clear,4.28,74.16,20.98,19.44,8,11.55,Good,0.0,0,10.28,Moderate Delay
Rural,Feeder Bus,20,0,Rain,8.34,8.07,75.17,21.47,10,16.05,Good,0.0,0,10.16,Moderate Delay
Rural,Express Bus,9,3,Clear,6.18,45.05,37.82,5.4,20,5.71,Good,3.82,0,4.11,On Time / Minor
Urban,Local Bus,5,1,Clear,3.67,25.51,64.1,17.81,27,11.61,Average,5.88,0,15.07,Major Delay
Urban,Local Bus,6,4,Clear,4.27,13.46,57.14,3.67,26,12.67,Good,7.18,0,15.38,Major Delay
Urban,Express Bus,18,3,Cloudy,6.65,66.22,53.16,16.73,27,3.26,Average,1.07,0,10.95,Moderate Delay
Urban,Local Bus,15,2,Rain,1.33,58.89,28.33,14.12,26,12.1,Good,3.25,0,15.36,Major Delay
Urban,Express Bus,15,3,Heavy Rain,3.71,54.06,42.86,12.21,5,12.28,Average,0.0,0,23.52,Major Delay
Urban,Feeder Bus,20,1,Cloudy,5.85,23.03,38.91,10.75,18,10.36,Average,0.0,0,16.74,Major Delay
Urban,Express Bus,6,0,Clear,7.26,52.84,46.12,21.05,21,4.59,Good,0.0,0,10.31,Moderate Delay
Urban,Express Bus,6,6,Clear,6.63,17.86,81.65,10.86,6,10.62,Good,0.34,0,6.32,Moderate Delay
Urban,Express Bus,21,4,Clear,2.69,49.78,50.95,22.12,13,2.0,Average,9.89,0,13.18,Moderate Delay
Rural,Feeder Bus,15,4,Cloudy,3.99,32.78,44.54,13.72,13,12.63,Good,10.58,0,5.27,Moderate Delay
Urban,Local Bus,18,6,Heavy Rain,0.85,72.17,70.99,16.24,6,14.71,Good,6.34,0,22.12,Major Delay
Urban,Local Bus,14,6,Clear,9.8,39.65,64.53,17.3,18,9.91,Average,8.53,0,13.31,Moderate Delay
Rural,Local Bus,7,4,Clear,4.78,53.32,98.65,16.76,17,17.4,Average,7.55,0,20.76,Major Delay
Urban,Express Bus,14,5,Cloudy,3.97,53.37,78.22,15.37,21,7.51,Average,4.37,0,5.74,Moderate Delay
Urban,Local Bus,22,3,Cloudy,3.95,46.26,18.22,26.92,8,7.36,Good,0.0,0,17.16,Major Delay
Urban,Local Bus,7,1,Cloudy,3.08,50.42,74.1,20.77,34,9.61,Good,14.83,0,17.7,Major Delay
Urban,Express Bus,7,4,Clear,7.38,54.99,71.72,3.0,13,22.32,Average,2.46,0,20.99,Major Delay
Urban,Local Bus,11,6,Clear,4.06,27.38,91.19,12.75,23,9.58,Average,2.44,0,17.43,Major Delay
Urban,Express Bus,13,6,Clear,1.2,57.27,54.03,22.92,21,21.72,Good,10.8,0,13.54,Moderate Delay
Urban,Local Bus,16,3,Clear,1.72,67.87,79.93,9.12,5,10.81,Good,4.3,0,14.33,Moderate Delay
Urban,Local Bus,7,6,Rain,0.67,57.14,50.91,14.03,12,6.96,Good,16.09,0,19.41,Major Delay
Urban,Local Bus,21,1,Clear,12.61,39.85,63.81,14.48,25,20.76,Average,0.0,0,13.45,Moderate Delay
Urban,Local Bus,7,0,Clear,3.34,52.01,36.9,23.55,15,11.92,Poor,8.68,0,19.41,Major Delay
Urban,Feeder Bus,8,2,Heavy Rain,13.71,39.63,30.51,7.72,14,9.53,Good,2.27,0,18.2,Major Delay
Urban,Feeder Bus,22,1,Cloudy,4.47,45.27,75.39,8.58,26,15.3,Average,4.0,1,20.28,Major Delay
Rural,Express Bus,11,6,Clear,2.56,20.68,58.07,17.03,28,17.24,Good,0.0,0,9.78,Moderate Delay
Urban,Express Bus,15,0,Heavy Rain,3.16,79.74,32.38,16.07,29,8.09,Good,0.35,0,15.97,Major Delay
Urban,Express Bus,12,3,Clear,4.34,92.52,74.29,17.13,18,15.51,Average,9.95,0,14.18,Moderate Delay
Urban,Feeder Bus,9,5,Rain,1.25,31.81,10.0,15.93,18,9.87,Average,6.09,0,16.16,Major Delay
Urban,Local Bus,14,0,Clear,0.81,66.08,41.8,13.29,25,6.09,Good,5.62,0,14.8,Moderate Delay
Rural,Local Bus,18,0,Rain,8.98,81.53,24.79,17.36,22,7.46,Average,0.0,0,15.6,Major Delay
Urban,Express Bus,5,3,Clear,2.42,25.97,81.98,15.23,16,5.14,Good,0.0,0,5.06,Moderate Delay
Urban,Feeder Bus,20,6,Clear,13.98,0.0,49.33,12.51,14,11.44,Good,0.0,0,11.24,Moderate Delay
Rural,Local Bus,8,0,Heavy Rain,6.03,82.89,59.58,13.62,34,11.45,Average,1.52,0,26.11,Major Delay
Rural,Local Bus,21,0,Cloudy,2.21,47.76,64.08,10.76,31,16.71,Good,2.99,0,14.51,Moderate Delay
Rural,Local Bus,22,6,Clear,18.34,36.05,74.17,9.75,14,15.34,Average,5.08,0,14.3,Moderate Delay
Urban,Local Bus,21,4,Clear,9.36,49.09,71.91,17.35,7,8.98,Average,8.61,0,17.51,Major Delay
Urban,Express Bus,16,4,Clear,0.51,39.51,74.02,6.16,33,10.03,Poor,10.85,1,16.85,Major Delay
Urban,Local Bus,21,1,Clear,1.55,100.0,52.69,18.13,7,7.76,Good,4.47,1,12.74,Moderate Delay
Urban,Feeder Bus,20,2,Cloudy,6.32,35.79,75.06,12.42,12,11.55,Average,0.0,0,12.51,Moderate Delay
Urban,Express Bus,16,3,Clear,1.82,55.53,44.89,13.38,6,9.9,Good,7.15,0,8.87,Moderate Delay
Rural,Local Bus,21,1,Heavy Rain,2.44,77.72,49.96,12.94,28,11.25,Good,4.42,0,18.55,Major Delay
Urban,Feeder Bus,11,3,Rain,5.46,77.61,27.26,17.02,8,18.31,Good,5.83,1,14.9,Moderate Delay
Urban,Express Bus,20,6,Heavy Rain,2.86,73.21,91.53,22.88,14,18.57,Average,9.53,0,27.15,Major Delay
Urban,Local Bus,21,5,Cloudy,4.31,38.21,38.13,24.82,23,7.88,Good,1.56,0,10.67,Moderate Delay
Urban,Local Bus,16,6,Clear,4.81,44.5,86.22,20.29,6,14.88,Poor,10.78,0,20.9,Major Delay
Urban,Feeder Bus,7,3,Cloudy,2.37,0.0,68.75,14.47,34,14.27,Good,0.0,0,13.21,Moderate Delay
Rural,Local Bus,8,5,Clear,1.49,46.29,61.99,18.8,28,8.25,Average,7.14,0,13.66,Moderate Delay
Urban,Local Bus,8,2,Clear,7.17,48.75,65.34,3.0,23,18.06,Good,0.25,0,19.82,Major Delay
Urban,Local Bus,14,4,Rain,7.35,65.06,36.69,17.65,21,3.61,Good,4.62,0,13.92,Moderate Delay
Urban,Local Bus,12,5,Cloudy,5.58,89.3,90.11,16.34,12,16.38,Average,5.14,1,21.73,Major Delay
Urban,Express Bus,19,5,Clear,1.97,64.36,50.77,4.73,22,10.42,Good,1.75,0,15.29,Major Delay
Urban,Local Bus,10,6,Clear,5.66,72.62,78.26,10.51,29,5.64,Average,0.29,1,20.02,Major Delay
Rural,Express Bus,7,0,Clear,0.46,47.6,47.13,15.67,20,10.08,Average,0.0,0,10.07,Moderate Delay
Urban,Local Bus,16,5,Cloudy,6.21,77.54,29.37,16.29,15,20.39,Average,4.93,0,12.65,Moderate Delay
